area_name,area_type,data_layer,uncertainty_score,year,scientific_name,common_name,functional_group,commercial_group,fishing_entity,fishing_sector,catch_type,reporting_status,gear_type,end_use_type,tonnes,landed_value
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Discards,Unreported,bottom trawl,,456.7250922239,
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Discards,Unreported,shrimp trawl,,24.4372371526,
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Landings,Reported,bottom trawl,Direct human consumption,92.94696,18293.75120793679
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.04652,0.00068090216824
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Landings,Reported,bottom trawl,Other,0.04652,0.00068090216824
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Landings,Reported,purse seine,Direct human consumption,535.2642,105350.29984106334
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Landings,Reported,purse seine,Fishmeal and fish oil,0.2679,0.0039211885397999
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Industrial,Landings,Reported,purse seine,Other,0.2679,0.0039211885397999
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Discards,Unreported,small scale longline,,156.5985556159,
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,mixed gear,Direct human consumption,52.48746,10330.54265332114
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,mixed gear,Fishmeal and fish oil,0.02627,0.00038450773774
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,mixed gear,Other,0.02627,0.00038450773774
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,bagnets,Direct human consumption,0.4995,98.31121672365
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,bagnets,Fishmeal and fish oil,0.00025,3.6591905e-06
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,bagnets,Other,0.00025,3.6591905e-06
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale seine nets,Direct human consumption,245.0547,48231.48292462269
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale seine nets,Fishmeal and fish oil,0.12265,0.0017951988592999
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale seine nets,Other,0.12265,0.0017951988592999
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,548.8506,108024.36493594662
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.2747,0.0040207185214
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale gillnets,Other,0.2747,0.0040207185214
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale other nets,Direct human consumption,157.2426,30948.371024605018
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale other nets,Fishmeal and fish oil,0.0787,0.0011519131694
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale other nets,Other,0.0787,0.0011519131694
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale pots or traps,Direct human consumption,0.7992,157.29794675784
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale pots or traps,Fishmeal and fish oil,0.0004,5.8547048e-06
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale pots or traps,Other,0.0004,5.8547048e-06
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale lines,Direct human consumption,434.2653,85471.77181954132
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.21735,0.0031813002206999
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale lines,Other,0.21735,0.0031813002206999
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Artisanal,Landings,Reported,small scale longline,Direct human consumption,11.2,2204.37563024
USA (West Coast),eez,Reconstructed domestic catch,2.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Recreational,Discards,Unreported,recreational fishing gear,,200.5535791044,
USA (West Coast),eez,Reconstructed domestic catch,2.0,1950,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),Other fishes & inverts,USA,Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,1801.2197391665,354514.72301123745
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Miscellaneous marine crustaceans,"Marine crabs, shrimps, lobsters nei",Shrimps,Crustaceans,USA,Industrial,Discards,Unreported,bottom trawl,,10.5712724776,
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Mollusca,"Clams, seasnails, squids, octopuses",Other demersal invertebrates,Molluscs,USA,Industrial,Discards,Unreported,bottom trawl,,2.187037142,
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Industrial,Discards,Unreported,bottom trawl,,49.0138430026,
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Industrial,Landings,Reported,bottom trawl,Direct human consumption,5.7942,8734.4198338032
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Industrial,Landings,Reported,bottom trawl,Fishmeal and fish oil,0.0029,4.244660979999999e-05
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Industrial,Landings,Reported,bottom trawl,Other,0.0029,4.244660979999999e-05
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale gillnets,Direct human consumption,10.3896,15661.7183226816
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale gillnets,Fishmeal and fish oil,0.0052,7.61111624e-05
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale gillnets,Other,0.0052,7.61111624e-05
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale lines,Direct human consumption,0.8991,1355.3410086936
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale lines,Fishmeal and fish oil,0.00045,6.5865429e-06
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale lines,Other,0.00045,6.5865429e-06
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale longline,Direct human consumption,4.3956,6626.1115980576005
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale longline,Fishmeal and fish oil,0.0022,3.22008764e-05
USA (West Coast),eez,Reconstructed domestic catch,4.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Artisanal,Landings,Reported,small scale longline,Other,0.0022,3.22008764e-05
USA (West Coast),eez,Reconstructed domestic catch,2.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Recreational,Discards,Unreported,recreational fishing gear,,91.7595590481,
USA (West Coast),eez,Reconstructed domestic catch,2.0,1950,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),Sharks & rays,USA,Recreational,Landings,Unreported,recreational fishing gear,Direct human consumption,111.824331175,168568.6818053739
